Domain, V4_m1, V5_m1, V6_m1, V9_m1, V10_m1, V11_m1, V12_m1, V13_m1, V14_m1,,,,,
1.049895,1.01687610482,1.01877146593,1.06918864671,1.05352889254,1.04885481738,1.05542497684,1.0542621686,1.0493141678,1.03360645486,,,,,
1.06656,1.01687605443,1.01877142262,1.06918882582,1.05352963517,1.04885546186,1.05542535517,1.05426246199,1.04931462678,1.03360711435,,,,,Line 9-14 fault at t=55sec for a duration of 0.05sec i.e. 3 cycles of the system frequency of 60Hz
1.083225,1.01687617193,1.01877147966,1.06918860315,1.05352898166,1.04885479453,1.05542494794,1.05426202783,1.04931415867,1.03360604493,,,,,
1.09989,1.016876106,1.01877146708,1.0691886478,1.0535288936,1.04885481955,1.05542497897,1.05426217152,1.04931417196,1.03360646022,,,,,
1.116555,1.01687605543,1.01877142358,1.06918882672,1.053529636,1.04885546379,1.05542535707,1.05426246468,1.04931463067,1.03360711936,,,,,
1.13322,1.01687617278,1.01877148047,1.0691886039,1.05352898231,1.04885479627,1.05542494966,1.05426203031,1.04931416231,1.03360604962,,,,,
1.149885,1.01687610676,1.01877146779,1.06918864844,1.05352889419,1.04885482121,1.0554249806,1.05426217385,1.04931417541,1.03360646472,,,,,
1.16655,1.0168760561,1.01877142421,1.06918882729,1.05352963649,1.04885546532,1.0554253586,1.0542624669,1.04931463398,1.03360712365,,,,,
1.183215,1.01687617339,1.01877148104,1.06918860441,1.05352898273,1.04885479771,1.0554249511,1.05426203242,1.04931416547,1.0336060537,,,,,
1.19988,1.01687610734,1.01877146832,1.06918864892,1.0535288946,1.04885482264,1.055424982,1.05426217589,1.04931417846,1.03360646868,,,,,
1.216545,1.01687605664,1.01877142471,1.06918882773,1.05352963684,1.04885546668,1.05542535994,1.05426246887,1.04931463694,1.03360712745,,,,,
1.23321,1.0168761739,1.01877148151,1.06918860482,1.05352898304,1.04885479901,1.05542495239,1.05426203431,1.04931416832,1.03360605735,,,,,
1.249875,1.01687610783,1.01877146878,1.06918864931,1.05352889494,1.04885482395,1.05542498328,1.05426217773,1.04931418123,1.03360647223,,,,,
1.26654,1.01687605711,1.01877142514,1.06918882811,1.05352963714,1.04885546794,1.05542536119,1.05426247066,1.04931463963,1.03360713089,,,,,
1.283205,1.01687617435,1.01877148192,1.06918860518,1.05352898331,1.04885480022,1.0554249536,1.05426203605,1.04931417092,1.03360606065,,,,,
1.29987,1.01687610828,1.01877146918,1.06918864966,1.05352889523,1.04885482518,1.05542498449,1.05426217942,1.04931418376,1.03360647546,,,,,
1.316535,1.01687605755,1.01877142553,1.06918882845,1.05352963741,1.04885546912,1.05542536236,1.05426247232,1.04931464211,1.03360713401,,,,,
1.3332,1.01687617477,1.0187714823,1.06918860551,1.05352898356,1.04885480137,1.05542495474,1.05426203765,1.04931417331,1.03360606365,,,,,
1.349865,1.01687610793,1.01877146869,1.06918864487,1.05352888779,1.04885481978,1.05542498004,1.05426216602,1.04931416114,1.03360637193,,,,,
1.36653,1.01687602595,1.01877139963,1.06918879537,1.05352952011,1.04885536672,1.05542529361,1.05426241255,1.04931455088,1.03360685872,,,,,
1.383195,1.01687617454,1.01877148212,1.06918860538,1.05352898188,1.04885480059,1.05542495456,1.05426203821,1.04931417407,1.03360606308,,,,,
1.39986,1.01687610806,1.01877146882,1.06918864502,1.05352888737,1.04885482023,1.05542498067,1.05426216713,1.04931416273,1.03360637335,,,,,
1.416525,1.01687602621,1.01877139986,1.06918879558,1.05352952003,1.04885536749,1.05542529446,1.05426241382,1.04931455272,1.03360686071,,,,,
1.43319,1.01687617485,1.0187714824,1.06918860563,1.05352898195,1.04885480149,1.0554249555,1.05426203952,1.04931417598,1.03360606529,,,,,
1.449855,1.0168761084,1.01877146913,1.06918864528,1.05352888755,1.04885482123,1.05542498166,1.05426216846,1.04931416466,1.03360637566,,,,,
1.46652,1.01687602656,1.01877140017,1.06918879585,1.05352952023,1.04885536848,1.05542529545,1.05426241513,1.04931455463,1.033606863,,,,,
1.483185,1.0168761752,1.0187714827,1.06918860589,1.05352898215,1.04885480248,1.05542495648,1.05426204081,1.04931417784,1.03360606753,,,,,
1.49985,1.01687610876,1.01877146943,1.06918864555,1.05352888779,1.04885482224,1.05542498265,1.05426216973,1.04931416649,1.03360637787,,,,,
1.516515,1.01687602691,1.01877140047,1.06918879612,1.05352952044,1.04885536947,1.05542529642,1.05426241638,1.04931455641,1.03360686513,,,,,
1.53318,1.01687617554,1.018771483,1.06918860615,1.05352898235,1.04885480344,1.05542495742,1.05426204202,1.04931417958,1.03360606958,,,,,
1.549845,1.0168761091,1.01877146973,1.0691886458,1.05352888802,1.04885482322,1.0554249836,1.05426217092,1.04931416818,1.03360637989,,,,,
1.56651,1.01687602724,1.01877140075,1.06918879636,1.05352952066,1.04885537041,1.05542529735,1.05426241754,1.04931455807,1.03360686707,,,,,
1.583175,1.01687617586,1.01877148327,1.06918860639,1.05352898255,1.04885480435,1.05542495832,1.05426204314,1.04931418118,1.03360607145,,,,,
1.59984,1.01687610942,1.01877147,1.06918864604,1.05352888825,1.04885482416,1.05542498451,1.05426217202,1.04931416974,1.03360638172,,,,,
1.616505,1.01687602755,1.01877140102,1.0691887966,1.05352952086,1.04885537132,1.05542529823,1.05426241862,1.04931455959,1.03360686884,,,,,
1.63317,1.01687617616,1.01877148353,1.06918860662,1.05352898274,1.04885480524,1.05542495919,1.0542620442,1.04931418266,1.03360607315,,,,,
1.649835,1.01687610973,1.01877147026,1.06918864627,1.05352888846,1.04885482506,1.05542498538,1.05426217306,1.04931417119,1.0336063834,,,,,
1.6665,1.01687602785,1.01877140127,1.06918879682,1.05352952105,1.04885537219,1.05542529908,1.05426241964,1.04931456101,1.03360687044,,,,,
1.683165,1.01687617646,1.01877148377,1.06918860683,1.05352898292,1.04885480608,1.05542496002,1.05426204518,1.04931418403,1.03360607469,,,,,
1.69983,1.01687611002,1.0187714705,1.06918864649,1.05352888867,1.04885482592,1.05542498621,1.05426217403,1.04931417253,1.03360638491,,,,,
1.716495,1.01687602814,1.01877140151,1.06918879703,1.05352952124,1.04885537302,1.05542529989,1.05426242058,1.04931456231,1.0336068719,,,,,
1.73316,1.01687617673,1.018771484,1.06918860704,1.05352898309,1.04885480689,1.05542496081,1.05426204611,1.04931418529,1.03360607609,,,,,
1.749825,1.0168761103,1.01877147074,1.06918864669,1.05352888887,1.04885482675,1.05542498701,1.05426217494,1.04931417377,1.03360638629,,,,,
1.76649,1.01687602841,1.01877140173,1.06918879723,1.05352952142,1.04885537381,1.05542530067,1.05426242147,1.04931456352,1.03360687323,,,,,
1.783155,1.016876177,1.01877148422,1.06918860723,1.05352898326,1.04885480766,1.05542496156,1.05426204697,1.04931418646,1.03360607737,,,,,
1.79982,1.01687611057,1.01877147096,1.06918864688,1.05352888906,1.04885482754,1.05542498777,1.05426217578,1.04931417491,1.03360638755,,,,,
1.816485,1.01687602867,1.01877140195,1.06918879742,1.0535295216,1.04885537458,1.05542530141,1.0542624223,1.04931456464,1.03360687443,,,,,
1.83315,1.01687617725,1.01877148443,1.06918860742,1.05352898342,1.04885480841,1.05542496229,1.05426204777,1.04931418754,1.03360607852,,,,,
1.849815,1.01687611083,1.01877147116,1.06918864707,1.05352888925,1.0488548283,1.0554249885,1.05426217658,1.04931417597,1.03360638868,,,,,
1.86648,1.01687602892,1.01877140215,1.0691887976,1.05352952177,1.04885537531,1.05542530212,1.05426242307,1.04931456567,1.03360687552,,,,,
1.883145,1.0168761775,1.01877148462,1.06918860759,1.05352898358,1.04885480912,1.05542496298,1.05426204853,1.04931418854,1.03360607956,,,,,
1.89981,1.01687611107,1.01877147136,1.06918864724,1.05352888943,1.04885482903,1.0554249892,1.05426217732,1.04931417695,1.03360638971,,,,,
1.916475,1.01687602916,1.01877140234,1.06918879777,1.05352952193,1.04885537601,1.0554253028,1.0542624238,1.04931456663,1.0336068765,,,,,
1.93314,1.01687617773,1.01877148481,1.06918860775,1.05352898373,1.0488548098,1.05542496365,1.05426204924,1.04931418947,1.03360608051,,,,,
1.949805,1.01687611131,1.01877147154,1.0691886474,1.0535288896,1.04885482973,1.05542498986,1.05426217802,1.04931417785,1.03360639065,,,,,
1.96647,1.01687602938,1.01877140252,1.06918879793,1.05352952208,1.04885537669,1.05542530345,1.05426242448,1.04931456751,1.0336068774,,,,,
1.983135,1.01687617795,1.01877148498,1.06918860791,1.05352898387,1.04885481045,1.05542496428,1.0542620499,1.04931419033,1.03360608136,,,,,
1.9998,1.01687611153,1.01877147172,1.06918864756,1.05352888977,1.0488548304,1.05542499051,1.05426217867,1.04931417869,1.03360639149,,,,,
2.016465,1.0168760296,1.01877140269,1.06918879808,1.05352952223,1.04885537733,1.05542530407,1.05426242512,1.04931456833,1.03360687821,,,,,
2.03313,1.01687617816,1.01877148515,1.06918860806,1.05352898401,1.04885481108,1.05542496489,1.05426205053,1.04931419112,1.03360608214,,,,,
2.049795,1.01687611175,1.01877147189,1.06918864771,1.05352888993,1.04885483105,1.05542499112,1.05426217929,1.04931417947,1.03360639226,,,,,
2.06646,1.01687602981,1.01877140285,1.06918879823,1.05352952238,1.04885537795,1.05542530467,1.05426242572,1.04931456908,1.03360687894,,,,,
2.083125,1.01687617836,1.01877148531,1.0691886082,1.05352898415,1.04885481168,1.05542496548,1.05426205111,1.04931419185,1.03360608283,,,,,
2.09979,1.01687611195,1.01877147205,1.06918864785,1.05352889008,1.04885483166,1.05542499171,1.05426217986,1.04931418019,1.03360639295,,,,,
2.116455,1.01687603001,1.018771403,1.06918879836,1.05352952252,1.04885537855,1.05542530525,1.05426242629,1.04931456979,1.03360687959,,,,,
2.13312,1.01687617856,1.01877148546,1.06918860834,1.05352898428,1.04885481226,1.05542496604,1.05426205166,1.04931419253,1.03360608346,,,,,
2.149785,1.01687611215,1.0187714722,1.06918864799,1.05352889023,1.04885483225,1.05542499227,1.05426218041,1.04931418085,1.03360639357,,,,,
2.16645,1.0168760302,1.01877140315,1.0691887985,1.05352952265,1.04885537912,1.05542530579,1.05426242682,1.04931457044,1.03360688019,,,,,
2.183115,1.01687617874,1.0187714856,1.06918860847,1.0535289844,1.04885481282,1.05542496657,1.05426205217,1.04931419316,1.03360608403,,,,,
2.19978,1.01687611234,1.01877147234,1.06918864812,1.05352889038,1.04885483282,1.05542499281,1.05426218091,1.04931418147,1.03360639413,,,,,
2.216445,1.01687603038,1.01877140329,1.06918879862,1.05352952278,1.04885537966,1.05542530632,1.05426242731,1.04931457104,1.03360688072,,,,,
2.23311,1.01687617892,1.01877148573,1.06918860859,1.05352898452,1.04885481335,1.05542496709,1.05426205266,1.04931419374,1.03360608454,,,,,
2.249775,1.01687611252,1.01877147248,1.06918864824,1.05352889051,1.04885483337,1.05542499333,1.05426218139,1.04931418204,1.03360639464,,,,,
2.26644,1.01687603056,1.01877140342,1.06918879874,1.05352952291,1.04885538019,1.05542530682,1.05426242778,1.04931457159,1.0336068812,,,,,
2.283105,1.0168761791,1.01877148586,1.06918860871,1.05352898464,1.04885481386,1.05542496758,1.05426205312,1.04931419428,1.03360608499,,,,,
2.29977,1.01687611269,1.01877147261,1.06918864836,1.05352889065,1.04885483389,1.05542499383,1.05426218184,1.04931418257,1.03360639509,,,,,
2.316435,1.01687603073,1.01877140354,1.06918879886,1.05352952303,1.04885538069,1.05542530731,1.05426242822,1.04931457211,1.03360688163,,,,,
2.3331,1.01687617926,1.01877148598,1.06918860882,1.05352898475,1.04885481435,1.05542496805,1.05426205355,1.04931419478,1.0336060854,,,,,
2.349765,1.01687611286,1.01877147273,1.06918864847,1.05352889078,1.04885483439,1.0554249943,1.05426218227,1.04931418306,1.0336063955,,,,,
2.36643,1.01687603089,1.01877140366,1.06918879896,1.05352952315,1.04885538118,1.05542530777,1.05426242864,1.04931457259,1.03360688202,,,,,
2.383095,1.01687617942,1.0187714861,1.06918860893,1.05352898486,1.04885481482,1.0554249685,1.05426205395,1.04931419525,1.03360608577,,,,,
2.39976,1.01687611302,1.01877147285,1.06918864858,1.05352889091,1.04885483488,1.05542499476,1.05426218267,1.04931418352,1.03360639586,,,,,
